ID,hora_reg_norm,dia_reg,medio_contacto_grupo,tipo_mail_rango,ingreso_propio_norm,edad_norm,sexo,nivel_estudios,Estado,destino,act_eco,ing_cuota_pf_rv,cuota_mensual_fijos,cuota_mensual_revolventes,hist_suf_pf_norm,hist_suf_rv_norm,bc_score_norm,icc_norm,monto_prom_norm,porc_deuda_12m_norm,porc_fijos_norm,porc_saldo_fijos_norm,pagos_suf_limite_norm,pagos_suf_limite_RV_norm,creditos_general_norm,creditos_general_ab_norm,creditos_recientes_norm,Saldo_Vencido_act_norm,Saldo_Actual_PF_norm,Saldo_Actual_RV_norm,porc_deuda_rev_norm,pagos_suf_limite_PF_norm,porc_mop_1_norm,ind_mop_4_9_norm,mop_max_act_norm,BANCO_HIP,BANCO_RV,BANCO_PF,AUTO,TIENDA_COMERCIAL,FINANCIERA,MICROFINANCIERA,COMUNICACIONES,con_2m_norm,BURO_DE_CREDITO_C,BANCO_C,SIC_C,FINANCIERA_C,CONSUMIDOR_FINAL_C,MICROFINANCIERA_C,TIENDA_COMERCIAL_C,BANCOS_C
1073311,0.6956522,5,Otro_medio,gma,0.04464286,0.005552751,Mujer,Licenciatura,CDMX,11,Empleado,0.04446154,0,289,0.324,0.348,0.7306502,0.75,0.0,0.2496869,0.3333333,0.0,0.298,0.254,0.06,0.05,1.0,0.0,0.0,0.01656667,0.558427,0.055,0.6551724,0.0,0.1111111,0.0,0.6666667,0.3333333,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.3,0.1,0.1,0.1,0.0,0.0,0.0
823353,0.7391304,4,Otro_medio,hot,0.3214286,0.015648660000000002,Mujer,Licenciatura,Michoacan de Ocampo,3,Empleado,0.7080909,10442,5136,0.328,0.48,0.7894737,0.75,0.2885,0.1462316,0.3333333,0.5091071,1.0,0.956,0.42,0.4,0.7272727,0.0,0.498984,0.8018867,0.3625668,0.3575,0.9612403,0.0,0.1111111,0.0,0.3333333,0.2962963,0.0,0.07407407,0.03703704,0.03703704,0.2222222,0.2,0.4347826,0.3043478,0.04347826,0.04347826,0.0,0.04347826,0.0,0.0
91891,0.0434782608695652,5,El Mejor Trato,hot,0.303571428571429,0.00555275113579,Hombre,Licenciatura,CDMX,5,Empleado,0.431809523809524,7275,1793,0.064,0.14,0.674922600619195,0.5,0.10536,0.378452447552926,0.285714285714286,0.819095651271227,0.202,0.146,0.1,0.25,1.0,0.0,0.75748,0.278826666666667,1.0,0.07,0.92831541218638,0.0,0.111111111111111,0.0,0.428571428571429,0.142857142857143,0.142857142857143,0.0,0.0,0.0,0.285714285714286,0.466666666666667,0.111111111111111,0.277777777777778,0.0555555555555556,0.0,0.388888888888889,0.0,0.0,0.0
421320,1.0,6,El Mejor Trato,gma,0.142857142857143,0.01110550227158,Hombre,Bachillerato,Chihuahua,6,Empleado,0.560916666666667,4147,2584,0.312,0.276,0.696594427244582,0.75,0.122,0.24968685516318,0.75,0.829940271953234,0.898,0.408,0.3,0.3,0.857142857142857,0.0,0.391848,0.13382,0.402975186701999,0.6125,0.804597701149425,0.0,0.111111111111111,0.0,0.0625,0.3125,0.0625,0.5,0.0,0.0,0.0625,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462613,0.652173913043478,4,Otro_medio,gma,0.0,0.0116102978293791,Mujer,Bachillerato,Estado de México,6,Empleado,1.0,5258,450,0.6,0.6,0.643962848297214,0.75,0.091285,0.827686263476992,0.571428571428571,0.970187952494739,0.814,0.194,0.22,0.3,1.0,0.0,0.13568,0.0557266666666667,0.532183103075062,0.775,0.75177304964539,0.0,0.111111111111111,0.0714285714285714,0.0714285714285714,0.0,0.0714285714285714,0.142857142857143,0.0,0.0,0.214285714285714,0.133333333333333,0.166666666666667,0.222222222222222,0.166666666666667,0.0555555555555556,0.166666666666667,0.0,0.0555555555555556,0.0
824018,0.9565217,4,SOLCREDITO,gma,0.08928571,0.01665825,Hombre,Bachillerato,Estado de México,3,Empleado,0.5538889,4405,580,0.576,0.216,0.6718266,0.75,0.049565,0.4016173,0.8333333,0.9476981,0.306,0.004,0.2,0.15,1.0,0.0,0.077932,0.06295333,0.6745,0.3775,1.0,0.0,0.1111111,0.0,0.08333333,0.0,0.0,0.25,0.0,0.0,0.0,0.06666667,0.2352941,0.4117647,0.05882353,0.0,0.0,0.0,0.0,0.05882353
579374,0.869565217391304,7,Otro_medio,hot,0.142857142857143,0.0100959111559818,Mujer,Licenciatura,Estado de México,2,Comerciante,0.191333333333333,925,1371,0.628,0.588,0.730650154798762,0.75,0.035,0.24968685516318,0.363636363636364,0.106160965429634,0.398,0.262,0.16,0.2,0.8,0.0,0.01404,0.19702,0.46275621251742,0.17,0.982638888888889,0.0,0.111111111111111,0.0,0.0909090909090909,0.0909090909090909,0.0,0.454545454545455,0.0,0.0,0.181818181818182,0.266666666666667,0.304347826086957,0.173913043478261,0.0869565217391304,0.0,0.0869565217391304,0.0,0.130434782608696,0.0
910644,0.5652174,4,Campana GL,gma,0.03214286,0.003028773,Mujer,Bachillerato,Estado de México,4,Empleado,0.2318966,0,1345,0.0,0.092,0.6811146,0.75,0.0,0.2496869,0.0,0.0,0.07,0.07,0.04,0.1,1.0,0.0,0.0,0.06040667,1.0,0.0,1.0,0.0,0.1111111,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.5,0.06666667,0.375,0.125,0.0,0.125,0.0,0.0,0.25,0.0
1809496,0.7391304,6,El Mejor Trato,hot,0.1071429,0.002523978,Mujer,Bachillerato,Queretaro de Arteaga,5,Empleado,0.086,0,860,0.0,0.088,0.6160991,0.75,0.003605,0.2496869,0.0,0.0,0.026,0.026,0.02,0.05,1.0,0.0,0.0,0.03421333,0.897046,0.0,0.9122807,0.0,0.1111111,0.0,0.0,0.0,0.0,0.3333333,0.0,0.0,0.3333333,0.3333333,0.3157895,0.4210526,0.05263158,0.0,0.0,0.0,0.05263158,0.05263158
263262,0.434782608695652,2,El Mejor Trato,hot,0.142857142857143,0.00454316002019182,Mujer,Licenciatura,Baja California,3,Empleado,0.233083333333333,1954,843,0.032,0.104,0.739938080495356,0.75,0.0913333333333333,1.0,0.2,0.622352299221192,0.106,0.09,0.08,0.2,1.0,0.0,0.100368,0.101506666666667,0.400684210526316,0.02,0.717514124293785,0.0,0.111111111111111,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.333333333333333,0.228571428571429,0.171428571428571,0.142857142857143,0.171428571428571,0.0,0.0857142857142857,0.0,0.0285714285714286
